ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Meters
6209,3797 - 4054,3797,4054,49,3270.723037675900300
6210,3797 - 4055,3797,4055,50,3311.196140929952000
6211,3797 - 2575,3797,2575,51,3388.455692634779600
6212,3797 - 2567,3797,2567,52,3430.017605386031400
6213,3797 - 4048,3797,4048,53,3514.803981810401200
6214,3797 - 2542,3797,2542,54,3532.365025149244000
6215,3797 - 4050,3797,4050,55,3576.985440768241500
6216,3797 - 4057,3797,4057,56,3628.732221036079000
6217,3797 - 3687,3797,3687,57,3731.562599550727100
6218,3797 - 2707,3797,2707,58,3732.817400379288800
6219,3797 - 2570,3797,2570,59,3827.838959426123000
6220,3797 - 2503,3797,2503,60,3978.734704300611600
6221,3797 - 2711,3797,2711,61,4023.562440973236300
6222,3797 - 3292,3797,3292,62,4066.145596724478800
6223,3797 - 2822,3797,2822,63,4240.590123629092900
6224,3797 - 2504,3797,2504,64,4242.682521657093300
6225,3797 - 3686,3797,3686,65,4302.086982331249600
6226,3797 - 3790,3797,3790,66,4427.601399269421600
6227,3797 - 4059,3797,4059,67,4489.732675512769700
6228,3797 - 3377,3797,3377,68,4553.918846396751200
6229,3797 - 2544,3797,2544,69,4675.757736277478200
6230,3797 - 2574,3797,2574,70,4786.250168903798100
6231,3797 - 3293,3797,3293,71,5080.691648809161100
6232,3797 - 2572,3797,2572,72,5146.543962314499400
6233,3797 - 2823,3797,2823,73,5313.854981653823400
6234,3797 - 4058,3797,4058,74,5439.654945869962800
6235,3797 - 3791,3797,3791,75,5442.086169740083300
6236,3797 - 4061,3797,4061,76,5988.890489325718600
6237,3797 - 4062,3797,4062,77,6626.508317971641200
6238,3838 - 3838,3838,3838,1,0.000000000000000
6239,3838 - 3795,3838,3795,2,333.363637768833030
6240,3838 - 3793,3838,3793,3,457.661551490306120
6241,3838 - 3841,3838,3841,4,556.280356223155760
6242,3838 - 3794,3838,3794,5,667.498932843375090
6243,3838 - 2548,3838,2548,6,684.330098323022300
6244,3838 - 2547,3838,2547,7,885.601141239798380
6245,3838 - 3792,3838,3792,8,923.021041301090240
